TF_name	TU_name	effect	evidence	confidence
ArcA	appCBA-yccB[appCp]	+	[AIFS, APPH, GEA, ITCR, PM, BPP, GEA, IGI]	STRONG
ArcA	appCBA-yccB[appCp2]	+	[AIFS, APPH, GEA, ITCR, PM, BPP, GEA, IGI]	STRONG
ArcA	appY[appYp2]	+	[AIFS, APPH, GEA, IEP, AIBSCS]	STRONG
ArcA	arcZ[arcZp]	-	[AIFS, APPH, GEA, AISGDTU, LTED, APIORCISFBSCS, GEA]	STRONG
ArcA	betIBA[betIp]	-	[AIFS, APPH, GEA, BCE]	STRONG
ArcA	betT[betTp]	-	[AIFS, APPH, GEA, BCE, GEA]	STRONG
ArcA	cadBA[cadBp]	-	[AIFS, APPH, GEA, PM, AIBSCS, GEA]	STRONG
ArcA	caiTABCDE[caiTp]	+	[AIFS, APPH, GEA, PAGTSBP, AIBSCS, GEA]	STRONG
ArcA	citCDEFXG[citCp1]	-	[AIFS, APPH, GEA, ICWHO, PAGTSBP, AIBSCS]	STRONG
ArcA	cydAB[cydAp3]	+	[AIFS, APPH, GEA, BPP, GEA, IGI]	STRONG
ArcA	cydAB[cydAp4]	+	[AIFS, APPH, GEA, BPP, GEA, IGI]	STRONG
ArcA	cydAB[cydAp1]	+	[AIFS, APPH, GEA, TAS, AIBSCS, GEA, BPP, APIORCISFBSCS, BCE]	STRONG
ArcA	cydAB[cydAp2]	+	[AIFS, APPH, GEA, APIORCISFBSCS, BPP, GEA]	STRONG
ArcA	cydDC[cydDp]	+	[AIFS, APPH, GEA, CV(LTED/PM), LTED, PM, AIBSPD, CCE, EME, GEA]	CONFIRMED
ArcA	cyoABCDE[cyoAp]	-	[EME, AIFS, APPH, GEA, AIBSPD, BCE, CCE, GEA]	STRONG
ArcA	dctA[dctAp]	-	[AIFS, APPH, GEA, LTED, BPP, GEA, IGI]	STRONG
ArcA	dcuC[dcuCp]	+	[AIFS, APPH, GEA, APIORCISFBSCS, GEA]	STRONG
