TF_name	TU_name	effect	evidence	confidence
CRP	cas3[cas3p]	+	[AIFS, APPH, GEA, IMP, ICWHO, APIORCISFBSCS, BPP, GEA, SM]	STRONG
CRP	casABCDE12[casAp]	-	[AIFS, APPH, GEA, IMP, ICWHO, LTED, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	cdd[cddp]	+	[AIFS, APPH, GEA, IMP, ICWHO, BPP, GEA, SM]	STRONG
CRP	chbBCARFG[chbBp]	+	[AIFS, APPH, GEA, IMP, AIBSCS, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	chiP-ybfN[chiPp]	+	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS]	STRONG
CRP	cirA[cirAp2]	+	[AIFS, APPH, GEA, IMP, BTEI, PM, APIORCISFBSCS, GEA]	STRONG
CRP	cirA[cirAp1]	+	[AIFS, APPH, GEA, IMP, BTEI, PM, APIORCISFBSCS, GEA]	STRONG
CRP	citCDEFXG[citCp2]	-	[AIBSCS, AIFS, APPH, GEA, IMP, PAGTSBP, AIBSCS]	STRONG
CRP	cpdB[cpdBp]	+	[AIFS, APPH, GEA, IMP, BCE, SM]	STRONG
CRP	crp[crpp1]	+	[AIFS, APPH, GEA, IMP, APIORCISFBSCS, BPP, SM, AIBSCS]	STRONG
CRP	csgDEFG[csgDp1]	+	[AIFS, APPH, GEA, IMP, BTEI, PAGTSBP, AIBSCS, GEA]	STRONG
CRP	csgDEFG[csgDp3]	+	[AIFS, APPH, GEA, IMP, BTEI, PAGTSBP, AIBSCS, GEA]	STRONG
CRP	csiD-ygaF-gabDTP[csiDp]	+	[AIFS, APPH, GEA, IMP, ITCR, PM, AIBSCS, BPP, GEA]	STRONG
CRP	csiE[csiEp]	+	[AIFS, APPH, GEA, IMP, GEA]	STRONG
CRP	csiE[csiEp2]	+	[AIFS, APPH, GEA, IMP, GEA]	STRONG
CRP	cspD[cspDp]	+	[AIFS, APPH, GEA, IMP, BTEI, AIBSCS, BPP, GEA, SM, APIORCISFBSCS]	STRONG
CRP	cspE[cspEp2]	+	[AIFS, APPH, GEA, IMP, ICWHO, LTED, APIORCISFBSCS, BPP, GEA, SM]	STRONG
CRP	csrC[csrCp]	-	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	cstA[cstAp1]	+	[AIFS, APPH, GEA, IMP, BTEI, GEA, SM]	STRONG
CRP	cyaA[cyaAp]	-	[AIFS, APPH, GEA, IMP, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	cyaR[cyaRp]	+	[AIFS, APPH, GEA, IMP, BTEI, ICWHO, LTED, AIBSCS, BPP, GEA, SM]	STRONG
CRP	cyaR[cyaRp2]	+	[AIFS, APPH, GEA, IMP, BTEI, ICWHO, LTED, AIBSCS, BPP, GEA, SM]	STRONG
CRP	cyaR[cyaRp3]	+	[AIFS, APPH, GEA, IMP, BTEI, ICWHO, LTED, AIBSCS, BPP, GEA, SM]	STRONG
CRP	cyoABCDE[cyoAp]	+	[AIFS, APPH, GEA, IMP, AIBSCS, GEA]	STRONG
CRP	cytR[cytRp]	+	[AIFS, APPH, GEA, IMP, ICWHO, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	dadAX[dadAp2]	+	[AIFS, APPH, GEA, IMP, ITCR, PAGTSBP, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	dadAX[dadAp1]	+	[AIFS, APPH, GEA, IMP, ITCR, PAGTSBP, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	dadAX[dadAp3]	+	[APIORCISFBSCS, BPP, GEA, AIFS, APPH, GEA, IMP, ITCR, PAGTSBP, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	dctA[dctAp]	+	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	dcuB-fumB[dcuBp]	+	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, GEA]	STRONG
CRP	dcuR[dcuRp]	+	[AIFS, APPH, GEA, IMP, APIORCISFBSCS, BPP]	STRONG
CRP	deoCABD[deoCp2]	+	[AIFS, APPH, GEA, IMP, LTED, AIBSCS, APIORCISFBSCS, BPP, GEA, SM]	STRONG
CRP	dgoRKADT[dgoRp]	+	[AIFS, APPH, GEA, IMP, ICWHO, AIBSCS, BPP, GEA, SM]	STRONG
CRP	dpiBA[dpiBp]	-	[AIFS, APPH, GEA, IMP, ICWHO, LTED, PAGTSBP, AIBSCS]	STRONG
CRP	dsdA[dsdAp]	+	[AIFS, APPH, GEA, IMP, BTEI, BPP, GEA, IGI]	STRONG
CRP	dsdXA[dsdXp]	+	[AIFS, APPH, GEA, IMP, BCE]	STRONG
CRP	dusB-fis[dusBp]	+	[AIFS, APPH, GEA, IMP, BTEI, AIBSCS, GEA, BPP]	STRONG
CRP	ebgAC[ebgAp]	+	[AIFS, APPH, GEA, IMP, BPP, GEA, IGI]	STRONG
CRP	entCEBA-ybdB[entCp]	+	[AIFS, APPH, GEA, IMP, PM, AIBSCS, GEA]	STRONG
CRP	epd-pgk[epdp]	+	[AIFS, APPH, GEA, IMP, BTEI, CV(LTED/PM), LTED, PM, APIORCISFBSCS, BCE, GEA, SM]	CONFIRMED
CRP	epd-pgk[epdp2]	+	[AIFS, APPH, GEA, IMP, BTEI, CV(LTED/PM), LTED, PM, APIORCISFBSCS, BCE, GEA, SM]	CONFIRMED
CRP	epd-pgk-fbaA[epdp]	+	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, BCE, GEA, SM]	STRONG
CRP	epd-pgk-fbaA[epdp2]	+	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, BCE, GEA, SM]	STRONG
CRP	exuR[exuRp2]	-	[AIFS, APPH, GEA, IMP, IEP, IMP, APIORCISFBSCS, GEA]	STRONG
CRP	exuT[exuTp2]	+	[AIFS, APPH, GEA, IMP, BTEI, IMP, AIBSCS, APIORCISFBSCS]	STRONG
CRP	fadD-sroD[fadDp]	+	[AIFS, APPH, GEA, IMP, BTEI, AIBSCS, BPP, GEA]	STRONG
CRP	fadH[fadHp]	+	[AIFS, APPH, GEA, IMP, ICWHO, APIORCISFBSCS, GEA]	STRONG
CRP	fadL[fadLp]	+	[AIFS, APPH, GEA, IMP, IHBCE, BPP, GEA]	STRONG
CRP	feaB[feaBp1]	+	[APIORCISFBSCS, GEA, AIFS, APPH, GEA, IMP, AISGDTU, BTEI, APIORCISFBSCS]	STRONG
CRP	feaR[feaRp2]	+	[AIFS, APPH, GEA, IMP, BTEI, APIORCISFBSCS]	STRONG
CRP	fecABCDE[fecAp]	+	[AIFS, APPH, GEA, IMP, CV(LTED/PM), IEP, ITCR, LTED, PM, BPP, GEA, IGI]	CONFIRMED
CRP	fepA-entD[fepAp]	+	[AIFS, APPH, GEA, IMP, AIBSCS, GEA]	STRONG
CRP	fiu[fiup]	+	[AIFS, APPH, GEA, IMP, ICWHO, AIBSCS, GEA]	STRONG
CRP	fixABCX[fixAp]	+	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, GEA]	STRONG
CRP	flhDC[flhDp]	+	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	focA-pflB[focAp1]	+	[AIFS, APPH, GEA, IMP, LTED, AIBSCS, APIORCISFBSCS, BCE, GEA, SM]	STRONG
CRP	fucAO[fucAp]	+	[AIFS, APPH, GEA, IMP, BTEI, LTED, BPP, GEA, IGI]	STRONG
CRP	fucPIKUR[fucPp]	+	[AIFS, APPH, GEA, IMP, AIBSCS, BPP, GEA, SM]	STRONG
CRP	fumA[fumAp]	+	[AIFS, APPH, GEA, IMP, ICWHO, LTED, AIBSCS, GEA, APIORCISFBSCS, BPP, SM]	STRONG
CRP	fumAC[fumAp]	+	[AIFS, APPH, GEA, IMP, ITCR, AIBSCS, GEA, APIORCISFBSCS, BPP, SM]	STRONG
CRP	fumC[fumCp]	+	[AIFS, APPH, GEA, IMP, APIORCISFBSCS, BPP, GEA, SM]	STRONG
CRP	fur[furpb]	+	[AIFS, APPH, GEA, IMP, BTEI, APIORCISFBSCS, SM]	STRONG
CRP	fur[furpa]	+	[AIFS, APPH, GEA, IMP, BTEI, APIORCISFBSCS, SM]	STRONG
CRP	gadAX[gadAp]	-	[AIFS, APPH, GEA, IMP, BTEI, LTED, APIORCISFBSCS, GEA]	STRONG
CRP	gadAX[gadAp2]	-	[AIFS, APPH, GEA, IMP, BTEI, LTED, APIORCISFBSCS, GEA]	STRONG
CRP	gadBC[gadBp]	-	[AIFS, APPH, GEA, IMP, BTEI, LTED, APIORCISFBSCS, GEA]	STRONG
CRP	gadBC[gadBp2]	-	[AIFS, APPH, GEA, IMP, BTEI, LTED, APIORCISFBSCS, GEA]	STRONG
CRP	gadEF-mdtEF[gadEp]	-	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, BPP]	STRONG
CRP	galE[galEp1]	+	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, GEA, SM]	STRONG
CRP	galE[galEp2]	-	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, GEA, SM]	STRONG
CRP	galE[galEp]	+	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, GEA, SM]	STRONG
CRP	galET[galEp1]	+	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, GEA, SM]	STRONG
CRP	galET[galEp2]	-	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, GEA, SM]	STRONG
CRP	galET[galEp]	+	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, GEA, SM]	STRONG
CRP	galETK[galEp1]	+	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, GEA, SM]	STRONG
CRP	galETK[galEp2]	-	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, GEA, SM]	STRONG
CRP	galETK[galEp]	+	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, GEA, SM]	STRONG
CRP	galETKM[galEp1]	+	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, GEA, SM]	STRONG
CRP	galETKM[galEp2]	-	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, GEA, SM]	STRONG
CRP	galETKM[galEp]	+	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, GEA, SM]	STRONG
CRP	galP[galPp]	+	[AIFS, APPH, GEA, IMP, AIBSCS, APIORCISFBSCS, GEA]	STRONG
CRP	galS[galSp]	+	[AIFS, APPH, GEA, IMP, AIBSCS, APIORCISFBSCS, BCE, GEA]	STRONG
CRP	gapA[gapAp3]	+	[AIFS, APPH, GEA, IMP, ICWHO, APIORCISFBSCS, GEA]	STRONG
CRP	gatYZABCD[gatYp]	+	[AIFS, APPH, GEA, IMP, BTEI, AIBSCS, BCE, GEA, SM]	STRONG
CRP	gcd[gcdp1]	-	[AIFS, APPH, GEA, IMP, BTEI, APIORCISFBSCS, BPP, GEA, SM]	STRONG
CRP	gcvTHP[gcvTp]	+	[AIFS, APPH, GEA, IMP, APIORCISFBSCS, BPP, GEA, SM]	STRONG
CRP	gdhA[gdhAp1]	-	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS]	STRONG
CRP	glcC[glcCp]	+	[AIFS, APPH, GEA, IMP, LTED, AIBSCS, GEA]	STRONG
CRP	glgCAP[glgCp1]	+	[AIFS, APPH, GEA, IMP, PAGTSBP, BPP, GEA, IGI]	STRONG
CRP	glgS[glgSp1]	+	[AIFS, APPH, GEA, IMP, AISGDTU, BTEI, APIORCISFBSCS, GEA]	STRONG
CRP	glnA[glnAp1]	+	[AIFS, APPH, GEA, IMP, BTEI, LTED, APIORCISFBSCS]	STRONG
CRP	glnA[glnAp2]	-	[AIFS, APPH, GEA, IMP, LTED, AIBSCS, BPP, GEA]	STRONG
CRP	glnALG[glnAp1]	+	[AIFS, APPH, GEA, IMP, BTEI, ITCR, APIORCISFBSCS]	STRONG
CRP	glnALG[glnAp2]	-	[AIFS, APPH, GEA, IMP, BTEI, ITCR, AIBSCS, BPP, GEA]	STRONG
CRP	glpABC[glpABCp]	+	[AIFS, APPH, GEA, IMP, BTEI, PM, APIORCISFBSCS, BPP, GEA, AIBSCS]	STRONG
CRP	glpD[glpDp]	+	[AIFS, APPH, GEA, IMP, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	glpEGR[glpEp]	+	[AIFS, APPH, GEA, IMP, BTEI, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	glpFKX[glpFp]	+	[AIFS, APPH, GEA, IMP, BTEI, PM, APIORCISFBSCS, GEA]	STRONG
CRP	glpTQ[glpTQp]	+	[AIFS, APPH, GEA, IMP, APIORCISFBSCS, BPP, GEA, AIBSCS]	STRONG
CRP	gltA[gltAp1]	+	[AIFS, APPH, GEA, IMP, LTED, AIBSCS, BCE, GEA]	STRONG
CRP	gltBDF[gltBp]	-	[AIFS, APPH, GEA, IMP, CV(LTED/PM), LTED, PM, APIORCISFBSCS, BPP, GEA, SM]	CONFIRMED
CRP	gltBDF[gltBp2]	-	[AIFS, APPH, GEA, IMP, CV(LTED/PM), LTED, PM, APIORCISFBSCS, BPP, GEA, SM]	CONFIRMED
CRP	gntK[gntKp]	+	[AIFS, APPH, GEA, IMP, BTEI, APIORCISFBSCS, BCE, GEA]	STRONG
CRP	gntKU[gntKp]	+	[AIFS, APPH, GEA, IMP, BTEI, LTED, APIORCISFBSCS, BCE, GEA]	STRONG
CRP	gntP[gntPp]	+	[AIFS, APPH, GEA, IMP, LTED, AIBSCS, GEA, APIORCISFBSCS, BPP]	STRONG
CRP	gntT[gntTp3]	+	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, BPP, GEA, SM, TASES]	STRONG
CRP	gntT[gntTp2]	+	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, BPP, GEA, SM, TASES]	STRONG
CRP	gntT[gntTp1]	+	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, BPP, GEA, SM, TASES]	STRONG
CRP	gntXY[gntXp]	+	[AIFS, APPH, GEA, IMP, BTEI, AIBSCS]	STRONG
CRP	grcA[grcAp1]	+	[AIFS, APPH, GEA, IMP, BTEI, AIBSCS, GEA]	STRONG
CRP	grpE[grpEp]	+	[AIFS, APPH, GEA, IMP, LTED, AIBSCS, GEA]	STRONG
CRP	guaBA[guaBp]	+	[AIFS, APPH, GEA, IMP, BTEI, PAGTSBP, PM, BPP, GEA, SM]	STRONG
CRP	gyrA[gyrAp]	+	[AIFS, APPH, GEA, IMP, BPP, GEA, IGI]	STRONG
CRP	hfq-hflXKC[hfqp3]	-	[AIFS, APPH, GEA, IMP, ITCR, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	hicAB[hicAp1]	+	[AIFS, APPH, GEA, IMP, ICWHO, PAGTSBP, APIORCISFBSCS, GEA]	STRONG
CRP	hlyE[hlyEp]	+	[AIFS, APPH, GEA, IMP, LTED, BPP, GEA, SM]	STRONG
CRP	hofMNOP[hofMp]	+	[AIFS, APPH, GEA, IMP, ICWHO, AIBSCS, BPP]	STRONG
CRP	hpt[hptp]	+	[AIFS, APPH, GEA, IMP, APIORCISFBSCS, BPP, GEA, SM]	STRONG
CRP	hupA[hupAp]	+	[AIFS, APPH, GEA, IMP, BTEI, LTED, BPP, GEA]	STRONG
CRP	hupB[hupBp3]	+	[AIFS, APPH, GEA, IMP, BTEI, LTED, BPP, GEA]	STRONG
CRP	hyfABCDEFGHIJR-focB[hyfAp]	+	[AIFS, APPH, GEA, IMP, BTEI, IEP, ITCR, AIBSCS, APIORCISFBSCS, GEA]	STRONG
CRP	idnDOTR[idnDp]	+	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, GEA, AIBSCS]	STRONG
CRP	idnK[idnKp]	+	[AIFS, APPH, GEA, IMP, BTEI, AIBSCS, APIORCISFBSCS, GEA]	STRONG
CRP	ivbL[ivbLp]	+	[AIFS, APPH, GEA, IMP, BTEI, APIORCISFBSCS, BPP]	STRONG
CRP	ivbL-ilvBN[ivbLp]	+	[AIFS, APPH, GEA, IMP, BTEI, ITCR, LTED, APIORCISFBSCS, BPP]	STRONG
CRP	kbaZ-agaVWA[kbaZp]	+	[AIFS, APPH, GEA, IMP, ITCR, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	lacZYA[lacZp3]	-	[AIFS, APPH, GEA, IMP, ITCR, LTED, APIORCISFBSCS, BPP, GEA, SM]	STRONG
CRP	lacZYA[lacZp2]	-	[AIFS, APPH, GEA, IMP, ITCR, LTED, APIORCISFBSCS, BPP, GEA, SM]	STRONG
CRP	lacZYA[lacZp1]	+	[AIFS, APPH, GEA, IMP, BTEI, LTED, APIORCISFBSCS, BPP, GEA, SM]	STRONG
CRP	ldtB[ldtBp]	+	[AIFS, APPH, GEA, IMP, AISGDTU, AIBSCS, APIORCISFBSCS, GEA]	STRONG
CRP	lgoR[lgoRp4]	+	[AIFS, APPH, GEA, IMP, ICWHO, APIORCISFBSCS, GEA]	STRONG
CRP	lpdA[lpdAp]	-	[AIFS, APPH, GEA, IMP, LTED, AIBSCS, GEA]	STRONG
CRP	lsrACDBFG-tam[lsrAp]	+	[AIFS, APPH, GEA, IMP, IHBCE, ITCR, LTED, APIORCISFBSCS, GEA, SM, BPP]	STRONG
CRP	lsrRK[lsrRp]	+	[BPP, GEA, SM, AIFS, APPH, GEA, IMP, LTED, BPP, GEA, SM, APIORCISFBSCS]	STRONG
CRP	malEFG[malEp]	+	[AIFS, APPH, GEA, IMP, ITCR, LTED, AIBSCS, BPP, SM, APIORCISFBSCS]	STRONG
CRP	malI[malIp]	+	[AIFS, APPH, GEA, IMP, BTEI, AIBSCS, BCE, BPP, GEA, SM]	STRONG
CRP	malK-lamB-malM[malKp]	+	[AIFS, APPH, GEA, IMP, AIBSCS, BPP, SM, APIORCISFBSCS]	STRONG
CRP	malS[malSp]	+	[AIFS, APPH, GEA, IMP, AISGDTU, AIBSCS, GEA]	STRONG
CRP	malT[malTp]	+	[AIFS, APPH, GEA, IMP, BTEI, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	malXY[malXp]	+	[AIFS, APPH, GEA, IMP, BTEI, PM, AIBSCS, BPP, GEA, SM, BCE]	STRONG
CRP	manA[manAp]	+	[APIORCISFBSCS, AIFS, APPH, GEA, IMP, IHBCE, LTED, APIORCISFBSCS, GEA]	STRONG
CRP	manXYZ[manXp]	+	[AIFS, APPH, GEA, IMP, APIORCISFBSCS, BCE, GEA, AIBSCS]	STRONG
CRP	marRAB[marRp]	+	[AIFS, APPH, GEA, IMP, BTEI, IEP, ITCR, LTED, AIBSCS, GEA, IMP]	STRONG
CRP	mcaS[mcaSp]	+	[AIFS, APPH, GEA, IMP, AISGDTU, LTED, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	mdh[mdhp1]	+	[AIFS, APPH, GEA, IMP, AISGDTU, BCE, GEA]	STRONG
CRP	melAB[melAp]	+	[AIFS, APPH, GEA, IMP, BTEI, AIBSCS, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	melR[melRp]	+	[AIFS, APPH, GEA, IMP, BTEI, AIBSCS, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	metK[metKp]	-	[AIFS, APPH, GEA, IMP, ICWHO, AIBSCS, GEA]	STRONG
CRP	metK[metKp2]	-	[AIFS, APPH, GEA, IMP, ICWHO, AIBSCS, GEA]	STRONG
CRP	metY[metYp2]	-	[AIFS, APPH, GEA, IMP, BTEI, LTED, BPP, GEA, SM]	STRONG
CRP	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp[metYp2]	-	[AIFS, APPH, GEA, IMP, BTEI, PM, BPP, GEA, SM]	STRONG
CRP	mglBAC[mglBp]	+	[AIFS, APPH, GEA, IMP, ITCR, PM, AIBSCS, BCE, BPP, GEA, SM]	STRONG
CRP	mglBAC[mglBp2]	+	[AIFS, APPH, GEA, IMP, ITCR, PM, AIBSCS, BCE, BPP, GEA, SM]	STRONG
CRP	mhpABCDFE[mhpAp]	+	[AIFS, APPH, GEA, IMP, IEP, ITCR, APIORCISFBSCS, BCE, GEA]	STRONG
CRP	mhpR-lacI[mhpRp1]	+	[AIFS, APPH, GEA, IMP, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	mlc[mlcp1]	-	[AIFS, APPH, GEA, IMP, ICWHO, AIBSCS, APIORCISFBSCS, GEA]	STRONG
CRP	mlc-ynfK[mlcp2]	+	[AIFS, APPH, GEA, IMP, ICWHO, ITCR, AIBSCS, APIORCISFBSCS, GEA]	STRONG
CRP	mlc-ynfK[mlcp]	+	[AIFS, APPH, GEA, IMP, ICWHO, ITCR, AIBSCS, APIORCISFBSCS, GEA]	STRONG
CRP	modABC[modAp]	+	[AIFS, APPH, GEA, IMP, AIBSCS, GEA]	STRONG
CRP	mpl[mplp1]	+	[AIFS, APPH, GEA, IMP, AIBSCS]	STRONG
CRP	mpl[mplp]	+	[AIFS, APPH, GEA, IMP, AIBSCS]	STRONG
CRP	mtlADR[mtlAp]	+	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, BPP]	STRONG
CRP	murQP[murQp1]	+	[AIFS, APPH, GEA, IMP, PAGTSBP, AIBSCS, BPP, GEA]	STRONG
CRP	murQP[murQp2]	+	[AIBSCS, BPP, GEA, AIFS, APPH, GEA, IMP, PAGTSBP, AIBSCS, BPP, GEA]	STRONG
CRP	murQP[murQp]	+	[AIFS, APPH, GEA, IMP, PAGTSBP, AIBSCS, BPP, GEA]	STRONG
CRP	nadC[nadCp]	+	[AIFS, APPH, GEA, IMP, ICWHO, AIBSCS, GEA]	STRONG
CRP	nagBACD[nagBp]	+	[AIFS, APPH, GEA, IMP, CV(LTED/PM), LTED, PM, APIORCISFBSCS, BPP, BCE]	CONFIRMED
CRP	nagE[nagEp]	+	[AIFS, APPH, GEA, IMP, BTEI, PM, APIORCISFBSCS, BPP, BCE]	STRONG
CRP	nanA[nanAp]	+	[AIFS, APPH, GEA, IMP, LTED, BPP]	STRONG
CRP	nanATEK-yhcH[nanAp]	+	[AIFS, APPH, GEA, IMP, CV(LTED/PM), ITCR, LTED, PM, BPP]	CONFIRMED
CRP	nanCM[nanCp]	+	[AIFS, APPH, GEA, IMP, ICWHO, AIBSCS, BPP, GEA]	STRONG
CRP	nanCMS[nanCp]	+	[AIFS, APPH, GEA, IMP, ITCR, PAGTSBP, AIBSCS, BPP, GEA]	STRONG
CRP	narQ[narQp]	-	[AIFS, APPH, GEA, IMP, ICWHO, APIORCISFBSCS, GEA]	STRONG
CRP	nirBDC-cysG[nirBp]	-	[AIFS, APPH, GEA, IMP, AIBSCS, GEA]	STRONG
CRP	nmpC[nmpCp]	+	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, SM]	STRONG
CRP	nrdAB-yfaE[nrdAp]	+	[AIFS, APPH, GEA, IMP, PAGTSBP, AIBSCS, GEA]	STRONG
CRP	nupC[nupCp]	+	[AIFS, APPH, GEA, IMP, APIORCISFBSCS, GEA, AIBSCS]	STRONG
CRP	nupG[nupGp]	+	[AIFS, APPH, GEA, IMP, APIORCISFBSCS, BPP, SM, AIBSCS, BCE]	STRONG
CRP	ompA[ompAp1]	+	[AIFS, APPH, GEA, IMP, BTEI, LTED, APIORCISFBSCS, GEA]	STRONG
CRP	ompF[ompFp]	+	[AIFS, APPH, GEA, IMP, AIBSCS, GEA]	STRONG
CRP	ompF[ompFp2]	+	[AIFS, APPH, GEA, IMP, AIBSCS, GEA]	STRONG
CRP	ompR-envZ[ompRp2]	+	[AIFS, APPH, GEA, IMP, BTEI, APIORCISFBSCS, BPP, SM]	STRONG
CRP	ompR-envZ[ompRp1]	-	[AIFS, APPH, GEA, IMP, BTEI, APIORCISFBSCS, BPP, SM]	STRONG
CRP	ompR-envZ[ompRp3]	+	[AIFS, APPH, GEA, IMP, BTEI, APIORCISFBSCS, BPP, SM]	STRONG
CRP	ompR-envZ[ompRp4]	-	[AIFS, APPH, GEA, IMP, BTEI, APIORCISFBSCS, BPP, SM]	STRONG
CRP	ompW[ompWp]	-	[AIFS, APPH, GEA, IMP, AISGDTU, AIBSCS, BPP, GEA]	STRONG
CRP	osmY[osmYp]	-	[AIFS, APPH, GEA, IMP, APIORCISFBSCS, GEA, IHBCE]	STRONG
CRP	osmY[osmYp2]	-	[AIFS, APPH, GEA, IMP, GEA, IHBCE, APIORCISFBSCS]	STRONG
CRP	oxyR[oxyRp]	+	[AIFS, APPH, GEA, IMP, BPP, GEA, IGI]	STRONG
CRP	oxyR[oxyRp2]	+	[AIFS, APPH, GEA, IMP, BPP, GEA, IGI]	STRONG
CRP	paaABCDEFGHIJK[paaAp]	+	[AIFS, APPH, GEA, IMP, BTEI, IEP, ITCR, PM, APIORCISFBSCS, BPP, GEA, SM]	STRONG
CRP	paaZ[paaZp]	+	[AIFS, APPH, GEA, IMP, BTEI, APIORCISFBSCS, BPP, GEA, SM]	STRONG
CRP	patZ[pkap]	+	[AIFS, APPH, GEA, IMP, LTED, AIBSCS, GEA]	STRONG
CRP	pck[pckp]	+	[AIFS, APPH, GEA, IMP, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	pdhR-aceEF-lpdA[pdhRp]	+	[AIFS, APPH, GEA, IMP, LTED, AIBSCS, GEA, APIORCISFBSCS]	STRONG
CRP	pdhR-aceEF-lpdA[pdhRp2]	+	[AIFS, APPH, GEA, IMP, LTED, AIBSCS, APIORCISFBSCS, GEA]	STRONG
CRP	plaR[plaRp]	-	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	pncB[pncBp]	-	[AIFS, APPH, GEA, IMP, AIBSCS, GEA]	STRONG
CRP	ppdD-hofBC[ppdDp]	+	[AIFS, APPH, GEA, IMP, ICWHO, AIBSCS, BPP]	STRONG
CRP	ppiA[ppiAp2]	+	[AIFS, APPH, GEA, IMP, BTEI, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	ppiA[ppiAp3]	+	[AIFS, APPH, GEA, IMP, BTEI, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	ppiA[ppiAp4]	-	[AIFS, APPH, GEA, IMP, BTEI, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	preTA[preTp]	+	[AIFS, APPH, GEA, IMP, ICWHO, PAGTSBP, AIBSCS, GEA]	STRONG
CRP	proP[proPp2]	+	[AIFS, APPH, GEA, IMP, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	proP[proPp1]	-	[AIFS, APPH, GEA, IMP, BCE, GEA, SM]	STRONG
CRP	prpBCDE[prpBp]	+	[AIFS, APPH, GEA, IMP, ICWHO, APIORCISFBSCS, BPP, GEA, SM]	STRONG
CRP	prpR[prpRp]	+	[AIFS, APPH, GEA, IMP, APIORCISFBSCS, BPP, GEA, SM]	STRONG
CRP	psiE[psiEp]	-	[AIFS, APPH, GEA, IMP, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	ptsG[ptsGp1]	+	[AIFS, APPH, GEA, IMP, BTEI, BPP, GEA, AIBSCS]	STRONG
CRP	ptsHI-crr[ptsHp4]	+	[AIFS, APPH, GEA, IMP, BTEI, LTED, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	ptsHI-crr[ptsHp5]	+	[AIFS, APPH, GEA, IMP, BTEI, LTED, APIORCISFBSCS, BPP, GEA]	STRONG
CRP	ptsHI-crr[ptsHp2]	-	[AIFS, APPH, GEA, IMP, BTEI, LTED, AIBSCS, APIORCISFBSCS, GEA]	STRONG
CRP	ptsHI-crr[ptsHp1]	+	[AIFS, APPH, GEA, IMP, BTEI, LTED, AIBSCS, APIORCISFBSCS, GEA]	STRONG
